Sample ,Date,Block,Treatment,Transect,MWD
1,April,b1,bio,1,1.05
2,April,b1,bio,2,0.95
3,April,b1,bio,3,0.99
4,April,b3,bio,1,0.82
5,April,b3,bio,2,0.84
6,April,b3,bio,3,0.96
7,April,b2,bio,1,1.11
8,April,b2,bio,2,1.25
9,April,b2,bio,3,1.11
10,April,b4,bio,1,1.23
11,April,b4,bio,2,1.22
12,April,b4,bio,3,1.09
13,April,b2,con,1,1.16
14,April,b2,con,2,0.77
15,April,b2,con,3,0.94
16,April,b4,con,1,0.71
17,April,b4,con,2,0.77
18,April,b4,con,3,0.95
19,April,b1,con,1,0.81
20,April,b1,con,2,0.99
21,April,b1,con,3,1.02
22,April,b3,con,1,0.92
23,April,b3,con,2,0.63
24,April,b3,con,3,0.89
25,June,b1,bio,1,2.06
26,June,b1,bio,2,1.45
27,June,b1,bio,3,1.94
28,June,b2,bio,1,2.39
29,June,b2,bio,2,1.94
30,June,b2,bio,3,1.79
31,June,b3,bio,1,1.11
32,June,b3,bio,2,1.31
33,June,b3,bio,3,1.41
34,June,b4,bio,1,2.16
35,June,b4,bio,2,1.31
36,June,b4,bio,3,2.03
37,June,b1,con,1,1.97
38,June,b1,con,2,1.55
39,June,b1,con,3,1.74
40,June,b2,con,1,1.75
41,June,b2,con,2,1.75
42,June,b2,con,3,1.78
43,June,b3,con,1,1.62
44,June,b3,con,2,1.48
45,June,b3,con,3,1.51
46,June,b4,con,1,1.58
47,June,b4,con,2,1.96
48,June,b4,con,3,1.93
49,Aug,b1,bio,1,1.42
50,Aug,b1,bio,2,1.47
51,Aug,b1,bio,3,1.6
52,Aug,b2,bio,1,1.87
53,Aug,b2,bio,2,1.77
54,Aug,b2,bio,3,1.71
55,Aug,b3,bio,1,2.16
56,Aug,b3,bio,2,1.73
57,Aug,b3,bio,3,1.86
58,Aug,b4,bio,1,2.07
59,Aug,b4,bio,2,1.73
60,Aug,b4,bio,3,1.97
61,Aug,b1,con,1,1.43
62,Aug,b1,con,2,1.28
63,Aug,b1,con,3,1.41
64,Aug,b2,con,1,1.55
65,Aug,b2,con,2,1.77
66,Aug,b2,con,3,1.69
67,Aug,b3,con,1,1.47
68,Aug,b3,con,2,1.41
69,Aug,b3,con,3,1.32
70,Aug,b4,con,1,1.71
71,Aug,b4,con,2,1.73
72,Aug,b4,con,3,1.84
73,Oct,b1,bio,1,1.59
74,Oct,b1,bio,2,1.72
75,Oct,b1,bio,3,1.77
76,Oct,b2,bio,1,1.66
77,Oct,b2,bio,2,1.69
78,Oct,b2,bio,3,1.71
79,Oct,b3,bio,1,1.32
80,Oct,b3,bio,2,1.47
81,Oct,b3,bio,3,1.69
82,Oct,b4,bio,1,1.78
83,Oct,b4,bio,2,1.84
84,Oct,b4,bio,3,1.77
85,Oct,b1,con,1,1.38
86,Oct,b1,con,2,1.37
87,Oct,b1,con,3,1.43
88,Oct,b2,con,1,1.2
89,Oct,b2,con,2,1.06
90,Oct,b2,con,3,1.23
91,Oct,b3,con,1,1.53
92,Oct,b3,con,2,1.17
93,Oct,b3,con,3,1.14
94,Oct,b4,con,1,1.34
95,Oct,b4,con,2,1.29
96,Oct,b4,con,3,0.93
