Project,Date,Block,Treatment,Transect,Plot,Species,Cover class,Cover value
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,ALCE,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,BIOS,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,HECO,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,LITT,5,85
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,POJU,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,TAOF,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,2,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,3,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,3,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,3,HECO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,3,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,3,POJU,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,3,POPR,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,3,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,ALCE,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,HECO,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,POJU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,PSSP,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,SOIL,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,7,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,9,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,9,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,9,HECO,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,9,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,9,POPR,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,9,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,13,ACMI,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,13,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,13,ASAG,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,13,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,13,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,13,POPR,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,ALCE,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,POJU,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,POPR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,PSSP,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,19,TAOF,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,21,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,21,HECO,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,21,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,21,POPR,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,21,TRDU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,23,ACMI,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,23,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,23,HECO,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,23,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,23,POPR,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,23,PSSP,3,37.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,33,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,33,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,33,HECO,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,33,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,33,PSSP,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,38,ASAG,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,38,KOMA,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,38,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,1,38,PSSP,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,0,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,0,LITT,6,97.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,0,POJU,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,0,POPR,4,62.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,0,TAOF,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,0,TRPR,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,6,ACMI,1,2.5
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,6,ALCE,2,15
OK Ranch Biosolids Resample,"June 21, 2016",1,Biosolids,2,6,ANMI,1,2.5
